PV1READ,Female,ESCS,METASUM,PERFEED,HOMEPOS,ADAPTIVITY,TEACHINT,ICTRES,JOYREAD,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,SWBP,MASTGOAL,BELONG,SCREADCOMP,SCREADDIFF,PISADIFF
563.777,Male,0.8388,0.59,0.0728,0.3409,0.8329,0.1744,-0.1536,-0.2704,1.0844,0.1956,-0.1015,0.4637,-0.5928,0.5761,-0.3184,0.1222,0.409,0.2705
339.555,Female,-1.8671,0.21,-0.3253,-2.3739,0.1915,0.1744,-2.2287,0.1851,1.0844,2.0054,-0.1015,-1.8939,1.2386,-0.3152,-0.4415,0.354180112,0.638474944,0.2705
526.742,Male,-0.6199,-1.72,0.7743,-0.3462,0.4572,-0.2934,-0.94,1.0781,-1.1393,2.0054,-0.7233,-1.8939,-3.0666,-0.8734,-1.2919,-0.4419,0.3787,0.5206
343,Male,0.0569,-1.72,1.3514,0.4677,-0.260573299,-0.2934,0.7063,-1.793,-0.6583,-0.2047,-0.1015,0.052,-1.1176,0.5761,-0.3184,-0.849,0.3787,1.1904
466.27,Female,-0.8748,0.59,0.0728,-0.6947,-0.1687,-1.0078,0.0595,-0.0721,0.0281,0.3709,1.1448,-0.0845,-1.566,1.1101,-0.4199,0.1222,-0.1817,0.2705
274.268,Male,-1.2419,-0.876841979,-0.3253,-1.964,-0.5786,0.1744,-1.4787,0.1372,-0.6583,0.1956,-0.1015,-1.8939,1.2386,1.8524,-0.9879,0.1222,1.2421,1.6524
311.922,Female,-1.8441,-1.72,-0.3253,-3.0618,0.4572,-1.1084,-2.0184,-0.2704,0.0321,-0.9792,0.5493,0.4637,-1.566,-0.4347,-0.8453,-1.1572,-1.8876,1.6524
455.285,Female,-0.0173,-0.57,-0.3253,-0.2659,2.0073,0.1744,-0.0367,0.2694,1.0844,-0.5707,-1.034,1.8905,1.2386,0.3468,-1.0144,-2.4403,2.7752,1.6524
397.192,Female,-1.4097,-1.508204071,-0.0008,-2.7415,-0.5786,-1.725,-3.768,-0.5228,1.0844,0.1956,0.9982,1.8905,-1.0127,-0.2151,-0.1769,1.8839,-1.8876,-1.272
430.798,Female,-0.2921,0.59,1.3514,0.1513,-0.4708,-1.2793,0.3692,1.0123,1.0844,1.2643,0.0273,-0.0845,0.4094,0.5761,1.4685,0.8214,-1.0064,0.2705
518.145,Female,1.11,0.59,-0.0008,0.3103,0.7368,0.1744,0.5557,1.1914,0.0281,-0.6888,-0.1015,-1.1858,1.2386,-1.5965,0.3241,0.8214,-0.524,-0.2888
707.746,Female,-0.1141,0.98,0.7743,-0.9114,-0.5819,0.1744,-1.2275,1.4712,1.0844,-0.2047,-0.6545,0.4637,-0.5928,0.9703,-0.4509,1.2374,0.409,0.2705
229.741,Male,-0.056906915,-2.104627012,-1.1311,-0.3267,-2.2652,0.1744,-1.3692,-0.131,-0.6583,1.1811,-0.244360601,0.8207,-1.272270383,-0.690139387,-1.4278,-0.223093623,0.999605186,1.6524
563.478,Female,0.1449,0.98,1.458,0.4587,2.0073,1.2403,0.0595,1.1891,1.0844,-2.345,0.7068,-0.729,-0.5928,0.5761,-0.9864,0.1222,-0.524,-1.272
370.153,Male,-0.2749,-0.370152747,1.3195,1.6331,0.5437,0.1744,1.2943,0.2363,0.0321,0.1956,-0.001520249,0.247907472,0.5012,1.8524,0.2195,0.1222,1.2421,1.122576947
581.546,Male,-0.4781,-0.18,-0.3253,-0.4031,-0.5786,-0.8547,0.0059,0.638,1.0844,2.0054,1.1448,-0.13,-0.5928,0.8347,0.0595,1.8839,-0.0362,0.2705
426.544,Male,-0.251,-0.57,0.9044,0.694,-1.4494,-0.3449,0.0895,-1.7421,0.0281,2.0054,-0.1015,1.3423,1.2386,-1.1295,-0.5878,0.8552,-0.524,-1.272
431.279,Female,-2.2119,0.98,-0.3253,-2.0245,-0.2644,-0.2934,-1.5044,-1.7421,0.4667,-0.5707,-0.1015,-0.687,-1.1176,1.3357,-0.4509,-1.0753,1.2658,1.2958
335.206,Male,-0.6074,-1.904971831,-0.507,-2.1176,-0.6894,0.174,-1.5044,0.2032,-0.6506,-1.2708,-1.034,-0.7592,-0.3171,-0.4684,-0.8065,-1.1218,-1.126,1.364
403.856,Female,-0.7668,0.59,-0.3253,-0.048,-0.1716,0.1744,0.6901,1.7513,0.4667,0.1956,-0.7233,-0.3799,0.7301,0.5761,-0.3184,1.2374,0.409,0.2705
594.517,Male,-0.5514,0.59,0.5121,-0.5356,-0.5786,0.1744,0.333,-1.1538,1.0844,0.1956,-0.1015,0.4637,-0.5928,0.5761,-0.0845,1.2374,-1.126,-0.8863
616.155,Male,1.454,0.21,1.5844,0.9751,0.7368,0.0809,0.4006,1.5998,1.0844,-0.6151,1.8164,-1.1858,-1.3186,1.8524,-0.9331,1.0657,-0.524,-0.2888
387.159,Female,-0.986,-1.34,-0.507,-0.6844,-0.1687,-0.3689,-0.3918,-0.0164,-1.1534,-2.345,-1.034,-1.4242,0.1869,-0.1793,-0.7564,1.2374,1.524263718,2.0692
459.053,Male,-0.4015,-1.72,-1.6391,0.3426,-0.5786,0.636,0.6901,-1.7421,-0.6198,0.7871,-0.772,-1.4869,-0.5928,-0.6331,0.6818,0.6994,-0.0362,-1.272
542.323,Female,-0.5489,-0.57,2.0165,-0.1703,2.0073,0.1744,-0.1536,-0.4868,-0.6583,0.7871,-0.1015,-0.2006,1.2386,0.5761,0.0595,0.1222,-0.0362,-1.272
445.531,Female,-0.2458,-0.95,-0.3253,0.1209,-0.9282,0.1744,0.333,-0.7077,0.4626,-0.4112,-0.7233,-0.2006,-1.566,0.8347,-0.47,-0.4089,0.8207,-1.272
570.794,Female,1.3609,0.98,0.7743,1.0382,2.0073,1.1908,0.333,0.1667,1.0844,-0.4112,1.8164,1.3423,-0.5928,0.1123,-0.5878,1.8839,0.409,-1.272
461.105,Female,0.728,-0.18,-1.256,0.0363,-0.5786,-0.2934,-0.3629,1.0123,1.0844,-0.4112,-0.1015,1.4083,-0.5928,1.8524,-0.0742,-0.4089,0.5082,0.2705
454.262,Female,1.0981,0.21,0.7743,0.5848,-0.5786,-0.6413,0.333,-0.2704,-0.6583,0.1956,1.8164,0.1097,1.2386,1.3357,-0.1843,1.8839,-0.0362,0.2705
478.851,Male,1.7466,-1.72,0.7743,2.2589,-0.9282,0.1744,3.601,0.8628,1.0844,0.1956,0.991866086,-0.687,0.1869,1.8524,0.0348,0.8214,-0.524,0.2705
475.959,Female,-0.1044,0.59,-0.3253,-0.4708,-1.4537,-1.0615,0.3692,0.2694,1.0844,-0.9792,-0.1015,-1.8939,-0.286546597,1.8524,-0.1562,0.8214,0.250388821,0.2705
300.907,Female,-0.4225,-1.72,0.3993,0.0754,-0.686,-0.3689,-0.070348082,0.5984,-0.6583,0.1956,-0.376037547,-1.8939,0.2659,-1.3162,-1.0032,-1.4704,-0.0362,-0.2888
451.424,Male,-1.0852,-1.72,0.7743,-0.6207,2.0073,0.1744,0.3692,-0.8176,1.0844,0.1956,-2.7365,-1.8939,1.2386,-0.0474,-0.3184,0.1222,-0.0697,0.2705
346.552,Female,-1.986436387,-0.57,2.0165,-1.3732,0.836,0.1744,-0.3918,-1.1538,-0.6583,-0.9372,-0.6545,-0.3799,1.089831917,0.0337,-0.4986,-1.0985,0.9065,1.0453
515.68,Female,0.4523,1.36,0.7743,-0.0218,-0.1687,-0.6413,0.0895,0.2694,1.0844,0.1956,-0.1015,0.4637,-1.1176,0.5761,-0.5878,-0.7133,-0.524,0.2705
465.968,Male,-0.3014,-1.72,-1.6391,-0.6381,-2.2652,0.1744,0.465,-0.4556,-0.6583,0.1956,-0.1015,-1.8939,1.2386,0.5761,-0.3184,0.1222,1.2421,0.2705
170.448,Female,-2.6364,-1.34,-0.0363,-0.8768,0.1915,0.1744,-0.3629,0.0293,1.0844,-0.9792,-0.7233,1.1422,-1.1176,-0.2151,-1.6065,-0.825,0.795,1.1904
554.7,Male,0.6587,0.98,-0.3253,-0.3616,0.4572,-1.0615,0.0595,0.0127,0.4667,-0.4112,-0.6545,-1.4869,1.2386,0.2224,0.9517,0.1222,-0.0362,-1.272
453.437,Female,0.881,0.59,2.0165,0.572,-0.8011,-0.8262,3.601,-1.4882,1.0844,1.1811,0.9982,-0.1558,0.2659,1.8524,-0.5635,0.1222,0.409,0.2705
262.219,Male,0.0529,-1.72,-0.6555,0.4895,-2.2652,-1.0615,3.601,0.0631,-1.6139,0.304955406,-0.23950631,-0.12077316,0.303773962,0.716040499,-0.594231484,0.1222,1.2421,1.6524
334.92,Female,-1.4415,0.59,-0.3253,-1.5669,-0.5786,-0.8687,-0.5742,-1.352,-0.6661,0.1956,-0.1015,-0.0845,1.2386,1.8524,-0.2159,-2.4403,-1.8876,-0.7816
430.834,Female,0.5232,-0.18,0.7743,0.1856,0.4572,1.8245,0.2111,-1.4526,1.0844,2.0054,-0.1015,-1.8939,1.2386,1.8524,2.7249,1.8839,-1.126,-1.272
294.229,Male,-1.9652,-0.57,-0.3253,-1.5636,-0.2644,0.1744,-0.94,-0.1542,1.0844,0.1956,-0.1015,0.4637,-0.5928,1.1969,-0.9879,0.612034736,1.2421,1.6524
482.051,Female,-0.2388,-1.72,2.0165,0.0869,2.0073,0.9278,0.3692,-0.6483,1.0844,-0.2661,0.7068,-0.0845,1.2386,0.8347,-0.6038,-0.7391,1.1604,0.2705
574.316,Female,0.0712,0.59,-1.6391,-1.108,-0.9282,-0.8262,-0.14,-0.645,0.4667,1.2643,0.7068,0.5949,-0.5928,0.5761,-0.4415,-0.4089,-0.0697,0.2705
240.661,Female,0.041,0.730481412,-0.1625,-0.4572,0.7368,0.2027,-0.1585,-0.604194978,0.396054037,-0.8705,-0.258913262,-0.4342,-1.496309922,0.5761,-1.3128,-1.532981914,1.332722311,1.316494599
433.6,Male,0.4337,-0.57,-1.6391,-1.4359,-1.4537,-1.7468,-0.349,-1.0942,-0.6198,1.1811,1.1448,-0.2006,-2.1783,-1.4455,-2.4306,0.6994,-0.0697,0.2705
357.95,Male,0.0087,-0.18,-0.3253,0.1676,-1.0504,-1.7928,-0.044,0.1331,-0.649862464,-1.7009,-2.099,-1.8939,1.2386,-1.7872,-0.9094,-2.4403,-1.8876,-1.272
446.228,Male,0.7604,-1.72,-0.3253,0.1156,-0.5786,-0.6894,0.0895,-1.0555,1.0844,0.1956,-1.071,-0.2006,-0.5928,1.8524,0.0382,-0.7391,0.795,0.8232
292.313,Male,0.7166,-1.72,-0.3253,0.6292,-2.2652,0.1744,0.4826,0.1372,-0.6583,0.1956,-0.1015,0.4637,-0.5928,0.5761,0.6818,0.1222,1.2421,1.6524
528.649,Male,1.558,-1.72,-0.3253,1.369,-0.5786,-0.2934,2.6563,-0.3875,1.0844,1.2643,-0.1015,-1.2792,1.2386,0.1123,-0.4415,-0.4419,0.8207,0.2705
504.243,Female,-0.8821,0.21,-0.9181,-0.4222,-1.601,-0.7972,-0.2321,1.5998,1.0844,-0.4631,1.1448,0.0208,0.1869,0.8347,-0.5707,0.1222,-0.0697,0.2705
439.431,Female,0.1359,1.36,0.0728,-0.0267,0.1915,-1.0615,0.3692,0.3568,1.0844,1.2643,-0.1015,0.8794,-1.3779,0.9703,-0.4552,1.1971,-0.1817,0.2705
504.039,Female,-0.6455,-0.18,-1.6391,-0.9984,-0.6894,0.1744,0.135,-0.0176,1.0844,0.4352,0.9982,-1.1858,-0.5928,1.8524,-0.1102,0.8214,0.9315,0.2705
473.516,Female,0.372,-0.330745069,2.0165,-0.113,0.836,1.8245,0.6901,1.7513,1.0844,-0.5707,-0.1015,1.8905,0.7301,1.8524,0.4766,1.2374,-0.524,1.1904
425.672,Male,-0.8197,-1.72,1.5844,-0.0978,-0.474,1.8245,0.0595,1.1914,0.4667,-0.2661,1.1448,1.0944,-0.5928,1.4751,-1.0006,1.8839,-1.8876,-0.2888
552.117,Female,-1.104,0.59,0.5121,-0.76,-0.5786,-0.6413,-0.044,-1.0562,-0.6583,-0.733,0.6291,-0.2006,-0.5928,1.8524,-0.445,-0.4089,0.795,1.6524
610.733,Male,-0.7406,-0.57,-1.1311,-1.3163,-0.5786,1.2403,-0.6231,-0.1843,1.0844,-0.2661,1.0596,0.8794,-2.1783,0.8347,-0.8548,-0.4089,0.5371,0.5206
636.023,Male,-0.0557,-1.72,2.0165,-0.2576,0.8329,1.3209,-0.0013,-1.793,1.0844,0.1956,0.5693,1.1911,1.08648714,-0.439359765,-1.109334171,0.1222,-0.6311,-1.272
478.846,Female,-0.1905,-0.18,0.0728,-1.7264,-0.1687,0.9684,0.1042,0.3568,0.0083,0.1956,-0.1015,1.1911,0.5012,1.8524,-0.8428,-0.7391,1.2658,1.2958
576.186,Female,-0.4471,0.98,2.0165,0.0529,0.1941,-0.2934,0.333,-0.5262,1.0844,-0.9792,-0.6545,1.8905,-1.566,0.8347,-1.1631,1.2374,-1.0064,-1.272
527.027,Male,-0.9692,-0.57,0.2012,-0.86,-0.9246,-0.2934,-0.1536,-0.2121,0.4667,0.7871,-0.772,0.5949,1.2386,0.4317,-0.0358,1.0657,-1.8876,-0.6346
