"Gender","ESCS","METASUM","HOMEPOS","ICTRES","JOYREAD","PV1READ"
2,-1.0354,-0.3327,-0.2419,1.2041,0.2959,637.62
2,-0.5246,-1.1713,-1.1173,-0.3586,-1.1624,310.38
1,-1.2934,-0.3327,-0.6956,-1.1171,0.417,475.51
1,-2.4345,0.925,-1.2566,-1.1171,0.0665,349.6
1,-0.7867,NA,-0.2419,-0.3586,1.289,431.18
1,0.1345,0.5058,-0.2419,-0.3586,0.417,575.13
1,-0.2744,0.5058,-0.5495,-1.1171,0.1798,630.18
1,-0.9301,0.0865,-0.5389,1.2041,-0.1533,396.94
2,-0.5957,-0.752,-0.6956,0.3453,-0.1533,394.87
2,0.7991,-0.3327,0.0976,0.3453,-0.0441,452.11
1,-0.0146,-0.752,-0.6201,-0.3586,-0.2604,346.5
2,-0.4183,0.5058,-0.978,0.3453,0.2959,526.43
2,0.4758,-0.752,-1.1173,-0.3586,-0.1533,487.15
2,-0.5781,1.3443,0.2872,0.2936,0.5421,432.87
2,0.6137,-1.1713,0.7021,1.2041,0.2959,448.91
2,-0.373,-1.1713,-0.6588,0.3453,-0.4969,439.45
2,-0.4214,-2.0098,0.4835,-0.3586,-0.4746,466.3
2,-1.5703,NA,-1.3978,-1.1171,0.6743,309.42
2,-0.5148,NA,-1.7586,NA,-1.2973,415.08
2,-0.3574,-0.3327,-0.2845,0.3453,-0.3675,475.52
2,-2.2256,-0.752,-1.5409,-0.3586,-1.6151,467.26
2,-0.3191,-2.0098,0.9439,0.3453,-0.1533,400.57
1,1.5528,0.0865,1.5475,1.2041,1.9344,666.48
1,1.2885,0.925,0.9439,1.2041,1.6882,623.03
1,1.4996,1.3443,0.9439,1.2041,1.118,661.48
1,1.3225,0.0865,-0.2419,1.2041,0.2959,644.48
1,1.2885,0.5058,0.9439,1.2041,0.417,608.25
1,0.4546,-0.752,0.0976,1.2041,0.8127,440.71
1,-0.0957,0.925,-0.6956,-0.3586,1.9344,630.1
1,0.2596,-0.3327,-1.3978,0.3453,0.0665,624.62
2,0.7637,-1.1713,0.4835,1.2041,0.9601,595.45
2,-1.2988,-2.0098,-1.5409,-1.1171,-0.9169,316.15
2,1.2357,0.925,0.9439,1.2041,1.9344,504.86
2,0.9973,-1.1713,0.0715,-0.3586,0.8127,627.36
2,1.4204,0.0865,0.9439,1.2041,1.118,601.3
2,0.8119,0.0865,-0.3986,-1.1171,0.1798,577.41
2,1.0245,-0.3327,0.9439,0.3453,-0.4746,488.99
2,1.4204,0.0865,0.9439,1.2041,0.6743,635.7
1,1.0812,0.0865,0.2843,-1.1171,0.1798,623.43
1,0.3037,0.5058,-0.5495,0.3453,0.2959,618.58
1,1.1931,1.3443,0.7021,0.3453,0.1798,671.17
1,0.8429,NA,0.4835,-0.3586,0.9601,627.08
1,0.342,0.0865,0.2843,-0.3586,0.1798,573.54
